emitter,txpower,rssi,timestamp,lat_emit,lng_emit,lat_sensor,lng_sensor,plot_timestamp,rc,color,width,sensor
21,5,-67.84397163120568,2021-04-23 17:01:24.223000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 17:00:00+00:00,-0.0334575665974321,"[255.0, 33.8751893278173, 0.0]",8.910765586621975,27
21,5,-72.1443661971831,2021-04-23 17:16:23.966000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 17:15:00+00:00,0.027808213227273244,"[255.0, 136.25002296871267, 0.0]",11.82089012829548,27
21,5,-69.11032028469751,2021-04-23 17:31:24.132000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 17:30:00+00:00,-0.015416469066534074,"[255.0, 65.37513814040052, 0.0]",9.76771771933963,27
21,5,-69.9710610932476,2021-04-23 17:46:24.655000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 17:45:00+00:00,-0.0031538833773107106,"[255.0, 83.75010828107405, 0.0]",10.350190539577742,27
21,5,-67.36764705882352,2021-04-23 18:01:24.258000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 18:00:00+00:00,-0.04024354772752154,"[255.0, 23.37520639028961, 0.0]",8.588431482942728,27
21,5,-68.08741258741259,2021-04-23 18:16:23.888000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 18:15:00+00:00,-0.029989373203903706,"[255.0, 39.1251807965812, 0.0]",9.075504772814574,27
21,5,-66.72597864768683,2021-04-23 18:31:24.131000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 18:30:00+00:00,-0.04938510787834781,"[255.0, 7.62523198399802, 0.0]",8.15420737577848,27
21,5,-67.42281879194631,2021-04-23 18:46:24.642000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 18:45:00+00:00,-0.03945754095484299,"[255.0, 23.37520639028961, 0.0]",8.625766804644957,27
21,5,-71.49319727891157,2021-04-23 19:01:24.931000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 19:00:00+00:00,0.01853130364061813,"[255.0, 120.50004856242109, 0.0]",11.380236922929361,27
21,5,-64.70847457627119,2021-04-23 19:16:25.060000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 19:15:00+00:00,-0.07812757751420174,"[212.74726300882824, 0.0, 0.0]",6.7889400680754175,27
21,5,-66.65635738831615,2021-04-23 19:31:24.605000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 19:30:00+00:00,-0.05037697052775871,"[255.0, 5.000236249616089, 0.0]",8.107093899931462,27
21,5,-68.96785714285714,2021-04-23 19:46:24.267000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 19:45:00+00:00,-0.01744607712858962,"[255.0, 60.125146671636664, 0.0]",9.671311336391993,27
21,5,-70.71724137931034,2021-04-23 20:01:25.046000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 20:00:00+00:00,0.007476610270209947,"[255.0, 102.1250784217475, 0.0]",10.855138987834973,27
21,5,-67.10714285714286,2021-04-23 20:16:24.537000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 20:15:00+00:00,-0.043954833475542306,"[255.0, 15.500219187143816, 0.0]",8.41214540991174,27
21,5,-66.42372881355932,2021-04-23 20:31:24.904000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 20:30:00+00:00,-0.05369112480437859,"[254.7502267509224, 0.0, 0.0]",7.949671571792017,27
21,5,-63.733108108108105,2021-04-23 20:46:24.383000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 20:45:00+00:00,-0.09202318322434844,"[191.74578113778114, 0.0, 0.0]",6.128898796843449,27
21,5,-65.95945945945945,2021-04-23 21:01:23.652000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 21:00:00+00:00,-0.0603053606823313,"[244.24948581539886, 0.0, 0.0]",7.635495367589263,27
21,5,-71.20125786163521,2021-04-23 21:16:23.834000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 21:15:00+00:00,0.014372174568483657,"[255.0, 115.25005709365723, 0.0]",11.182678292002974,27
21,5,-72.30555555555556,2021-04-23 21:31:23.461000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 21:30:00+00:00,0.030104605241685466,"[255.0, 141.50001443747655, 0.0]",11.929968748980059,27
21,5,-65.31649831649833,2021-04-23 22:01:24.790000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 22:00:00+00:00,-0.06946533779981333,"[228.49837441211355, 0.0, 0.0]",7.2003964545088674,27
21,5,-70.95176848874598,2021-04-23 22:16:24.786000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 22:15:00+00:00,0.010817812113242018,"[255.0, 107.37506989051143, 0.0]",11.013846075378996,27
21,5,-67.33793103448276,2021-04-23 22:31:24.098000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 22:30:00+00:00,-0.040666898510012504,"[255.0, 20.75021065590768, 0.0]",8.568322320774406,27
21,5,-67.14335664335664,2021-04-23 22:46:30.720000+00:00,26.713438,-80.05368,26.71332,-80.053839,2021-04-23 22:45:00+00:00,-0.04343891201327806,"[255.0, 18.125214921525746, 0.0]",8.436651679369291,27
